Date,Borough
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,The Bronx
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,The Bronx
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,The Bronx
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,The Bronx
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,The Bronx
January 2015,Manhattan
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Staten Island
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,The Bronx
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,The Bronx
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,The Bronx
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,The Bronx
February 2015,Queens
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,The Bronx
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,The Bronx
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Manhattan
February 2015,Queens
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,The Bronx
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,The Bronx
February 2015,Brooklyn
February 2015,Queens
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,The Bronx
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,The Bronx
February 2015,The Bronx
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Manhattan
February 2015,Manhattan
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,The Bronx
February 2015,The Bronx
February 2015,The Bronx
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Queens
February 2015,Brooklyn
February 2015,The Bronx
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
February 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Queens
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,The Bronx
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Queens
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,The Bronx
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Queens
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,The Bronx
March 2015,Brooklyn
March 2015,Queens
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Brooklyn
March 2015,Manhattan
March 2015,Manhattan
March 2015,Queens
March 2015,The Bronx
March 2015,Manhattan
March 2015,Manhattan
March 2015,Manhattan
March 2015,Brooklyn
